var	cid	val
target	cid537	0
target	cid538	1
target	cid539	1
target	cid540	1
target	cid541	0
target	cid542	0
target	cid543	1
target	cid544	1
target	cid545	0
target	cid546	0
target	cid547	0
target	cid548	0
target	cid549	0
target	cid550	0
target	cid551	0
target	cid552	0
target	cid553	0
target	cid554	1
target	cid555	0
target	cid556	0
target	cid557	0
target	cid558	0
target	cid559	0
target	cid560	1
target	cid561	1
target	cid562	0
target	cid563	0
target	cid564	0
target	cid565	1
target	cid566	1
target	cid567	0
target	cid568	0
target	cid569	0
target	cid570	1
target	cid571	1
target	cid572	0
target	cid573	1
target	cid574	0
target	cid575	0
target	cid576	1
target	cid577	1
target	cid578	0
target	cid579	1
target	cid580	0
target	cid581	0
target	cid582	0
target	cid583	0
target	cid584	1
target	cid585	0
target	cid586	0
target	cid587	0
target	cid588	1
target	cid589	0
target	cid590	0
target	cid591	1
target	cid592	1
target	cid593	1
target	cid594	0
target	cid595	1
target	cid596	0
target	cid597	0
target	cid598	1
target	cid599	1
target	cid600	0
target	cid601	0
target	cid602	1
target	cid603	0
target	cid604	0
target	cid605	0
target	cid606	0
target	cid607	0
target	cid608	0
target	cid609	1
target	cid610	0
target	cid611	1
target	cid612	1
target	cid613	0
target	cid614	0
target	cid615	0
target	cid616	1
target	cid617	1
target	cid618	0
target	cid619	0
target	cid620	1
target	cid621	1
target	cid622	0
target	cid623	1
target	cid624	0
target	cid625	0
target	cid626	0
target	cid627	1
target	cid628	0
target	cid629	0
target	cid630	1
target	cid631	1
target	cid632	0
target	cid633	1
target	cid634	0
target	cid635	1
target	cid636	0
target	cid637	1
target	cid638	0
target	cid639	0
target	cid640	0
target	cid641	0
target	cid642	0
target	cid643	0
target	cid644	1
target	cid645	0
target	cid646	0
target	cid647	1
target	cid648	0
target	cid649	1
target	cid650	0
target	cid651	0
target	cid652	1
target	cid653	0
target	cid654	0
target	cid655	1
target	cid656	1
target	cid657	0
target	cid658	0
target	cid659	0
target	cid660	0
target	cid661	1
target	cid662	1
target	cid663	1
target	cid664	1
target	cid665	1
target	cid666	1
target	cid667	0
target	cid668	1
target	cid669	0
target	cid670	0
target	cid671	1
target	cid672	0
target	cid673	1
target	cid674	0
target	cid675	0
target	cid676	1
target	cid677	0
target	cid678	0
target	cid679	0
target	cid680	1
target	cid681	0
target	cid682	0
target	cid683	0
target	cid684	0
target	cid685	0
target	cid686	1
target	cid687	1
target	cid688	0
target	cid689	0
target	cid690	1
target	cid691	0
target	cid692	1
target	cid693	0
target	cid694	0
target	cid695	1
target	cid696	0
target	cid697	0
target	cid698	0
target	cid699	0
target	cid700	0
target	cid701	0
target	cid702	1
target	cid703	0
target	cid704	0
target	cid705	0
target	cid706	0
target	cid707	1
target	cid708	1
target	cid709	1
target	cid710	1
target	cid711	0
target	cid712	0
target	cid713	0
target	cid714	0
target	cid715	1
target	cid716	0
target	cid717	1
target	cid718	1
target	cid719	0
target	cid720	1
target	cid721	1
target	cid722	1
target	cid723	0
target	cid724	0
target	cid725	0
target	cid726	0
target	cid727	1
target	cid728	0
target	cid729	0
target	cid730	0
target	cid731	0
target	cid732	0
target	cid733	1
target	cid734	0
target	cid735	1
target	cid736	1
target	cid737	0
target	cid738	0
target	cid739	0
target	cid740	0
target	cid741	1
target	cid742	0
target	cid743	0
target	cid744	1
target	cid745	0
target	cid746	1
target	cid747	0
target	cid748	1
target	cid749	0
target	cid750	1
target	cid751	1
target	cid752	0
target	cid753	0
target	cid754	0
target	cid755	1
target	cid756	0
target	cid757	1
target	cid758	1
target	cid759	1
target	cid760	1
target	cid761	0
target	cid762	0
target	cid763	0
target	cid764	1
target	cid765	0
target	cid766	0
target	cid767	0
target	cid768	1
target	cid769	0
target	cid770	0
target	cid771	0
target	cid772	1
target	cid773	1
target	cid774	0
target	cid775	1
target	cid776	1
target	cid777	0
target	cid778	0
target	cid779	0
target	cid780	1
target	cid781	0
target	cid782	1
target	cid783	1
target	cid784	1
target	cid785	1
target	cid786	0
target	cid787	0
target	cid788	0
target	cid789	0
target	cid790	1
target	cid791	0
target	cid792	0
target	cid793	0
target	cid794	0
target	cid795	1
target	cid796	0
target	cid797	1
target	cid798	0
target	cid799	1
target	cid800	1
target	cid801	0
target	cid802	0
target	cid803	1
target	cid804	0
target	cid805	0
target	cid806	0
target	cid807	1
target	cid808	0
target	cid809	0
target	cid810	1
target	cid811	1
target	cid812	0
target	cid813	1
target	cid814	0
target	cid815	0
target	cid816	0
target	cid817	1
target	cid818	1
target	cid819	0
target	cid820	0
target	cid821	0
target	cid822	1
target	cid823	0
target	cid824	0
target	cid825	0
target	cid826	1
target	cid827	0
target	cid828	0
target	cid829	1
target	cid830	0
target	cid831	1
target	cid832	1
target	cid833	0
target	cid834	1
target	cid835	1
target	cid836	1
target	cid837	0
target	cid838	0
target	cid839	0
target	cid840	1
target	cid841	1
target	cid842	0
target	cid843	0
target	cid844	1
target	cid845	0
target	cid846	1
target	cid847	1
target	cid848	0
target	cid849	0
target	cid850	0
target	cid851	0
target	cid852	0
target	cid853	0
target	cid854	0
target	cid855	1
target	cid856	1
target	cid857	0
target	cid858	1
target	cid859	0
target	cid860	1
target	cid861	1
target	cid862	0
target	cid863	1
target	cid864	0
target	cid865	0
target	cid866	0
target	cid867	1
target	cid868	0
target	cid869	0
target	cid870	0
target	cid871	0
target	cid872	0
target	cid873	0
target	cid874	0
target	cid875	0
target	cid876	0
target	cid877	1
target	cid878	0
target	cid879	1
target	cid880	1
target	cid881	1
target	cid882	1
target	cid883	0
target	cid884	0
target	cid885	0
target	cid886	1
target	cid887	0
target	cid888	0
target	cid889	1
target	cid890	0
target	cid891	1
target	cid892	1
target	cid893	0
target	cid894	1
target	cid895	1
target	cid896	0
target	cid897	0
target	cid898	0
target	cid899	0
target	cid900	1
target	cid901	1
target	cid902	1
target	cid903	0
target	cid904	0
target	cid905	0
target	cid906	0
target	cid907	1
target	cid908	0
target	cid909	0
target	cid910	0
target	cid911	0
target	cid912	1
target	cid913	1
target	cid914	0
target	cid915	1
target	cid916	0
target	cid917	1
target	cid918	0
target	cid919	1
target	cid920	1
target	cid921	1
target	cid922	1
target	cid923	0
target	cid924	0
target	cid925	1
target	cid926	0
target	cid927	1
target	cid928	1
target	cid929	1
target	cid930	0
target	cid931	1
target	cid932	0
target	cid933	1
target	cid934	0
target	cid935	1
target	cid936	0
target	cid937	1
target	cid938	0
target	cid939	0
target	cid940	1
target	cid941	0
target	cid942	0
target	cid943	0
target	cid944	0
target	cid945	1
target	cid946	0
target	cid947	1
target	cid948	1
target	cid949	0
target	cid950	1
target	cid951	1
target	cid952	0
target	cid953	0
target	cid954	0
target	cid955	0
target	cid956	0
target	cid957	0
target	cid958	0
target	cid959	1
target	cid960	1
target	cid961	0
target	cid962	0
target	cid963	0
target	cid964	1
target	cid965	0
target	cid966	1
target	cid967	0
target	cid968	1
target	cid969	1
target	cid970	0
target	cid971	1
target	cid972	1
target	cid973	0
target	cid974	0
target	cid975	1
target	cid976	1
target	cid977	1
target	cid978	1
target	cid979	0
target	cid980	0
target	cid981	1
target	cid982	0
target	cid983	0
target	cid984	1
target	cid985	1
target	cid986	0
target	cid987	0
target	cid988	0
target	cid989	1
target	cid990	0
target	cid991	0
target	cid992	1
target	cid993	0
target	cid994	0
target	cid995	0
target	cid996	0
target	cid997	0
target	cid998	0
target	cid999	1
target	cid1000	0
target	cid1001	0
target	cid1002	0
target	cid1003	1
target	cid1004	0
target	cid1005	0
target	cid1006	0
target	cid1007	0
target	cid1008	0
target	cid1009	0
target	cid1010	1
target	cid1011	0
target	cid1012	1
target	cid1013	1
target	cid1014	0
target	cid1015	0
target	cid1016	0
target	cid1017	0
target	cid1018	1
target	cid1019	0
target	cid1020	0
target	cid1021	0
target	cid1022	0
target	cid1023	1
target	cid1024	1
target	cid1025	1
target	cid1026	1
target	cid1027	0
target	cid1028	1
target	cid1029	1
target	cid1030	0
target	cid1031	0
target	cid1032	1
target	cid1033	1
target	cid1034	0
target	cid1035	0
target	cid1036	0
target	cid1037	0
target	cid1038	0
target	cid1039	1
target	cid1040	1
target	cid1041	0
target	cid1042	0
target	cid1043	1
target	cid1044	0
target	cid1045	1
target	cid1046	1
target	cid1047	0
target	cid1048	0
target	cid1049	1
target	cid1050	0
target	cid1051	0
target	cid1052	1
target	cid1053	0
target	cid1054	1
target	cid1055	1
target	cid1056	0
target	cid1057	0
target	cid1058	1
target	cid1059	1
target	cid1060	0
target	cid1061	1
target	cid1062	0
target	cid1063	1
target	cid1064	0
target	cid1065	0
target	cid1066	1
target	cid1067	1
target	cid1068	1
target	cid1069	0
target	cid1070	0
target	cid1071	1
target	cid1072	1
target	cid1073	1
target	cid1074	1
target	cid1075	1
target	cid1076	1
target	cid1077	0
target	cid1078	1
target	cid1079	0
target	cid1080	0
target	cid1081	0
target	cid1082	0
target	cid1083	0
target	cid1084	0
target	cid1085	0
target	cid1086	0
target	cid1087	0
target	cid1088	0
target	cid1089	0
target	cid1090	1
target	cid1091	1
target	cid1092	1
target	cid1093	0
target	cid1094	1
target	cid1095	0
target	cid1096	0
target	cid1097	1
target	cid1098	0
target	cid1099	0
target	cid1100	1
target	cid1101	1
target	cid1102	1
target	cid1103	0
target	cid1104	0
target	cid1105	1
target	cid1106	1
target	cid1107	0
target	cid1108	0
target	cid1109	1
target	cid1110	0
target	cid1111	1
target	cid1112	1
target	cid1113	1
target	cid1114	1
target	cid1115	1
target	cid1116	1
target	cid1117	0
target	cid1118	0
target	cid1119	1
target	cid1120	1
target	cid1121	0
target	cid1122	1
target	cid1123	0
target	cid1124	0
target	cid1125	1
target	cid1126	0
target	cid1127	0
target	cid1128	0
target	cid1129	0
target	cid1130	0
target	cid1131	1
target	cid1132	1
target	cid1133	1
target	cid1134	0
target	cid1135	0
target	cid1136	0
target	cid1137	0
target	cid1138	0
target	cid1139	1
target	cid1140	1
target	cid1141	0
target	cid1142	0
target	cid1143	0
target	cid1144	1
target	cid1145	0
target	cid1146	0
target	cid1147	0
target	cid1148	1
target	cid1149	1
target	cid1150	1
target	cid1151	1
target	cid1152	1
target	cid1153	1
target	cid1154	0
target	cid1155	1
target	cid1156	1
target	cid1157	0
target	cid1158	0
target	cid1159	1
target	cid1160	0
target	cid1161	0
target	cid1162	1
target	cid1163	1
target	cid1164	0
target	cid1165	0
target	cid1166	0
target	cid1167	0
target	cid1168	0
target	cid1169	1
target	cid1170	1
target	cid1171	1
target	cid1172	0
target	cid1173	1
target	cid1174	0
target	cid1175	0
target	cid1176	1
target	cid1177	1
target	cid1178	1
target	cid1179	1
target	cid1180	0
target	cid1181	0
target	cid1182	0
target	cid1183	1
target	cid1184	0
target	cid1185	1
target	cid1186	0
target	cid1187	0
target	cid1188	1
target	cid1189	1
target	cid1190	0
target	cid1191	1
target	cid1192	1
target	cid1193	1
target	cid1194	0
target	cid1195	1
target	cid1196	0
target	cid1197	1
target	cid1198	0
target	cid1199	0
target	cid1200	1
target	cid1201	0
target	cid1202	1
target	cid1203	1
target	cid1204	1
target	cid1205	0
target	cid1206	0
target	cid1207	0
target	cid1208	1
target	cid1209	0
target	cid1210	1
target	cid1211	0
target	cid1212	0
target	cid1213	0
target	cid1214	1
target	cid1215	0
target	cid1216	0
target	cid1217	0
target	cid1218	0
target	cid1219	0
target	cid1220	0
target	cid1221	1
target	cid1222	1
target	cid1223	0
target	cid1224	0
target	cid1225	1
target	cid1226	1
target	cid1227	1
target	cid1228	1
target	cid1229	0
target	cid1230	1
target	cid1231	0
target	cid1232	1
target	cid1233	0
target	cid1234	0
target	cid1235	0
target	cid1236	0
target	cid1237	1
